DESTINATION,IATA_CODE,AIRLINE,AIRCRAFT,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES,WEATHER,TEMP,DEST_CODE,AIRLINE_CODE,AIRCRAFT_CODE
Hurghada,HRG,Edelweiss Air,A320,2025-04-28 07:35:00,07:55,2025-04-28 07:55:00,20,5,6.8,74,34,3
Hannover,HAJ,Helvetic Airways,E195,2025-04-28 07:40:00,08:09,2025-04-28 08:09:00,29,5,6.8,70,57,42
Brussels,BRU,Swiss,A21N,2025-04-28 07:25:00,07:49,2025-04-28 07:49:00,24,5,6.8,32,88,1
Istanbul,IST,Turkish Airlines,A321,2025-04-28 07:40:00,08:06,2025-04-28 08:06:00,26,5,6.8,76,93,4
Paris,CDG,Air France,BCS3,2025-04-28 07:45:00,08:13,2025-04-28 08:13:00,28,5,6.8,126,10,24
Prague,PRG,Swiss,A321,2025-04-28 07:50:00,08:17,2025-04-28 08:17:00,27,5,6.8,133,88,4
Wroclaw,WRO,Air Baltic,BCS3,2025-04-28 07:35:00,08:14,2025-04-28 08:14:00,39,5,6.8,180,5,24
Paris,CDG,Swiss,A320,2025-04-28 07:25:00,08:00,2025-04-28 08:00:00,35,5,6.8,126,88,3
Dusseldorf,DUS,Helvetic Airways,E195,2025-04-28 07:30:00,08:11,2025-04-28 08:11:00,41,5,6.8,55,57,42
Rome,FCO,Swiss,A321,2025-04-28 07:20:00,07:42,2025-04-28 07:42:00,22,5,6.8,142,88,4
Vienna,VIE,Swiss,A320,2025-04-28 07:20:00,07:44,2025-04-28 07:44:00,24,5,6.8,175,88,3
Birmingham,BHX,Helvetic Airways,E195,2025-04-28 07:00:00,07:46,2025-04-28 07:46:00,46,5,6.8,21,57,42
Krakow,KRK,Air Baltic,BCS3,2025-04-28 07:00:00,07:09,2025-04-28 07:09:00,9,5,6.8,84,5,24
London,LHR,Swiss,A21N,2025-04-28 07:05:00,07:37,2025-04-28 07:37:00,32,5,6.8,92,88,1
Amsterdam,AMS,KLM,B739,2025-04-28 07:00:00,07:26,2025-04-28 07:26:00,26,5,6.8,5,65,15
Warsaw,WAW,Helvetic Airways,E295,2025-04-28 07:05:00,07:20,2025-04-28 07:20:00,15,5,6.8,177,57,44
